uuid|season|g_type|date|team1|team2|year|month|day|t1_loc|t1_sea_g_played|t1_sea_g_played_h|t1_sea_g_played_a|t1_rest_day|t1_b2b|t2_loc|t2_sea_g_played|t2_sea_g_played_h|t2_sea_g_played_a|t2_rest_day|t2_b2b|league
10850|202122|2|2022-01-17|WAS|PHI|2022|1|1|Home|44|21|23|1|0|Away|43|18|25|1|0|NBA
122|201314|2|2013-11-13|UTA|NOP|2013|11|3|Home|9|4|5|1|0|Away|9|4|5|0|1|NBA
1362|201415|2|2014-11-03|BRK|OKC|2014|11|1|Home|3|1|2|1|0|Away|4|1|3|1|0|NBA
2258|201415|2|2015-03-09|CHO|WAS|2015|3|1|Home|62|32|30|0|1|Away|64|32|32|1|0|NBA
2226|201415|2|2015-03-04|TOR|CLE|2015|3|3|Home|61|32|29|1|0|Away|63|32|31|0|1|NBA
2505|201415|2|2015-04-10|UTA|MEM|2015|4|5|Home|79|40|39|1|0|Away|79|40|39|1|0|NBA
10238|202122|2|2021-10-25|IND|MIL|2021|10|1|Home|4|2|2|1|0|Away|4|1|3|1|0|NBA
3518|201516|2|2016-02-29|MIL|HOU|2016|2|1|Home|60|27|33|1|0|Away|60|30|30|1|0|NBA
1713|201415|2|2014-12-20|DAL|SAS|2014|12|6|Home|28|14|14|2|0|Away|28|12|16|0|1|NBA
7884|201920|2|2019-10-23|DAL|WAS|2019|10|3|Home|1|1|0|-1|-1|Away|1|0|1|-1|-1|NBA
3987|201617|2|2016-10-30|PHO|GSW|2016|10|7|Home|3|2|1|1|0|Away|3|1|2|1|0|NBA
564|201314|2|2014-01-14|MEM|OKC|2014|1|2|Home|37|22|15|1|0|Away|38|19|19|2|0|NBA
11160|202122|2|2022-03-07|DEN|GSW|2022|3|1|Home|65|31|34|0|1|Away|65|33|32|1|0|NBA
6178|201718|2|2018-03-01|POR|MIN|2018|3|4|Home|62|30|32|1|0|Away|65|32|33|2|0|NBA
5174|201617|2|2017-04-12|ORL|DET|2017|4|3|Home|82|41|41|1|0|Away|82|41|41|1|0|NBA
4594|201617|2|2017-01-20|PHI|POR|2017|1|5|Home|41|24|17|1|0|Away|45|20|25|1|0|NBA
11115|202122|2|2022-03-01|BOS|ATL|2022|3|2|Home|64|32|32|1|0|Away|61|31|30|2|0|NBA
2122|201415|2|2015-02-20|DET|CHI|2015|2|5|Home|55|29|26|3|0|Away|55|26|29|3|0|NBA
10526|202122|2|2021-12-03|ATL|PHI|2021|12|5|Home|23|11|12|1|0|Away|23|10|13|1|0|NBA
1722|201415|2|2014-12-21|MIN|IND|2014|12|7|Home|26|14|12|1|0|Away|28|13|15|0|1|NBA
1033|201314|2|2014-03-22|GSW|SAS|2014|3|6|Home|71|35|36|1|0|Away|69|34|35|0|1|NBA
6817|201819|2|2018-11-20|ORL|TOR|2018|11|2|Home|18|12|6|1|0|Away|18|9|9|2|0|NBA
3437|201516|2|2016-02-19|CHI|TOR|2016|2|5|Home|54|27|27|0|1|Away|53|24|29|3|0|NBA
4422|201617|2|2016-12-28|CHI|BRK|2016|12|3|Home|32|16|16|1|0|Away|31|15|16|1|0|NBA
9517|202021|2|2021-02-28|DET|NYK|2021|2|7|Home|34|16|18|1|0|Away|35|17|18|0|1|NBA
4733|201617|2|2017-02-08|MEM|PHO|2017|2|3|Home|55|27|28|1|0|Away|53|25|28|1|0|NBA
6650|201819|2|2018-10-28|BRK|GSW|2018|10|7|Home|6|2|4|1|0|Away|7|3|4|1|0|NBA
10945|202122|2|2022-01-31|BOS|MIA|2022|1|1|Home|52|27|25|1|0|Away|51|24|27|1|0|NBA
6493|201718|4|2018-04-15|OKC|UTA|2018|4|7|Home|83|42|41|3|0|Away|83|41|42|3|0|NBA
7712|201819|2|2019-03-31|ATL|MIL|2019|3|7|Home|77|39|38|1|0|Away|77|38|39|2|0|NBA
2488|201415|2|2015-04-08|PHI|WAS|2015|4|3|Home|79|39|40|2|0|Away|78|40|38|3|0|NBA
9152|202021|2|2021-01-08|NYK|OKC|2021|1|5|Home|9|4|5|1|0|Away|8|3|5|1|0|NBA
8153|201920|2|2019-11-29|NYK|PHI|2019|11|5|Home|19|10|9|1|0|Away|19|8|11|1|0|NBA
11304|202122|2|2022-03-26|ORL|SAC|2022|3|6|Home|75|37|38|2|0|Away|75|39|36|2|0|NBA
3801|201516|2|2016-04-06|POR|OKC|2016|4|3|Home|80|39|41|0|1|Away|79|40|39|0|1|NBA
1196|201314|2|2014-04-12|WAS|MIL|2014|4|6|Home|80|40|40|0|1|Away|80|40|40|0|1|NBA
4116|201617|2|2016-11-17|MIA|MIL|2016|11|4|Home|11|7|4|1|0|Away|11|6|5|0|1|NBA
8270|201920|2|2019-12-15|GSW|SAC|2019|12|7|Home|28|12|16|1|0|Away|26|11|15|1|0|NBA
6966|201819|2|2018-12-10|OKC|UTA|2018|12|1|Home|25|13|12|2|0|Away|28|10|18|0|1|NBA
8806|201920|2|2020-03-05|HOU|LAC|2020|3|4|Home|61|30|31|2|0|Away|62|31|31|1|0|NBA
4391|201617|2|2016-12-23|DET|GSW|2016|12|5|Home|32|15|17|1|0|Away|31|14|17|0|1|NBA
8054|201920|2|2019-11-16|CHI|BRK|2019|11|6|Home|13|6|7|1|0|Away|12|5|7|1|0|NBA
10747|202122|2|2022-01-04|NYK|IND|2022|1|2|Home|38|19|19|1|0|Away|38|20|18|1|0|NBA
9445|202021|2|2021-02-18|LAL|BRK|2021|2|4|Home|30|14|16|1|0|Away|31|16|15|1|0|NBA
668|201314|2|2014-01-28|DET|ORL|2014|1|2|Home|45|23|22|1|0|Away|46|23|23|1|0|NBA
2348|201415|2|2015-03-20|SAC|CHO|2015|3|5|Home|68|35|33|1|0|Away|67|34|33|2|0|NBA
3121|201516|2|2016-01-01|LAL|PHI|2016|1|5|Home|34|12|22|1|0|Away|35|13|22|1|0|NBA
10026|202021|2|2021-05-07|UTA|DEN|2021|5|5|Home|67|34|33|1|0|Away|67|35|32|1|0|NBA
11192|202122|2|2022-03-11|MIA|CLE|2022|3|5|Home|68|32|36|1|0|Away|66|31|35|2|0|NBA
1434|201415|2|2014-11-12|NYK|ORL|2014|11|3|Home|9|5|4|1|0|Away|9|3|6|0|1|NBA
2591|201415|4|2015-05-03|ATL|WAS|2015|5|7|Home|89|45|44|1|0|Away|87|43|44|3|0|NBA
9639|202021|2|2021-03-21|BOS|ORL|2021|3|7|Home|42|20|22|1|0|Away|42|22|20|1|0|NBA
8969|201920|4|2020-08-24|OKC|HOU|2020|8|1|Home|76|39|37|1|0|Away|76|38|38|1|0|NBA
1696|201415|2|2014-12-17|SAS|MEM|2014|12|3|Home|26|11|15|1|0|Away|25|13|12|0|1|NBA
6330|201718|2|2018-03-22|NOP|LAL|2018|3|4|Home|73|37|36|0|1|Away|71|34|37|2|0|NBA
8720|201920|2|2020-02-23|CHI|WAS|2020|2|7|Home|58|30|28|0|1|Away|55|27|28|1|0|NBA
5674|201718|2|2017-12-15|CHO|MIA|2017|12|5|Home|28|15|13|1|0|Away|28|12|16|1|0|NBA
7398|201819|2|2019-02-09|MIL|ORL|2019|2|6|Home|55|28|27|0|1|Away|56|30|26|1|0|NBA
8405|201920|2|2020-01-04|CLE|OKC|2020|1|6|Home|35|18|17|1|0|Away|35|18|17|1|0|NBA
2910|201516|2|2015-12-03|SAC|BOS|2015|12|4|Home|20|12|8|2|0|Away|19|10|9|2|0|NBA
9954|202021|2|2021-04-29|DEN|TOR|2021|4|4|Home|63|34|29|0|1|Away|63|32|31|1|0|NBA
5237|201617|4|2017-05-09|SAS|HOU|2017|5|2|Home|93|47|46|1|0|Away|92|46|46|1|0|NBA
4210|201617|2|2016-11-29|SAS|ORL|2016|11|2|Home|18|8|10|2|0|Away|18|10|8|1|0|NBA
10530|202122|2|2021-12-03|HOU|ORL|2021|12|5|Home|22|10|12|1|0|Away|24|10|14|1|0|NBA
10823|202122|2|2022-01-14|SAC|HOU|2022|1|5|Home|45|26|19|1|0|Away|44|20|24|1|0|NBA
3757|201516|2|2016-03-31|POR|BOS|2016|3|4|Home|76|37|39|2|0|Away|75|37|38|2|0|NBA
3554|201516|2|2016-03-05|LAC|ATL|2016|3|6|Home|61|32|29|2|0|Away|63|31|32|0|1|NBA
8248|201920|2|2019-12-12|DET|DAL|2019|12|4|Home|25|13|12|2|0|Away|24|13|11|3|0|NBA
299|201314|2|2013-12-08|HOU|ORL|2013|12|7|Home|22|13|9|1|0|Away|20|10|10|1|0|NBA
3734|201516|2|2016-03-28|POR|SAC|2016|3|1|Home|75|36|39|1|0|Away|74|36|38|0|1|NBA
